developer_id,developer
515,DC Studios
516,Nfusion
517,GameVision
518,Magic Lantern
519,Maximum Charisma
520,Cat Daddy Games
521,Escape
522,Action Forms Ltd.
523,Crosscut Games
524,H2O Interactive
525,Toolbox Design
526,Creature Labs
527,Silver Style
528,Shin'en
529,Graphic State
530,Metro3D
531,Atod AB
532,Terraglyph Interactive Studios
533,Adrenium
534,Xpiral
535,Red Zone Entertainment
536,Data Becker
537,Zombie Studios
538,Digital Illusions
539,WideScreen Games
540,Rival Interactive
541,Sunstorm Interactive
542,Running Dog
543,Blue Shift
544,Fluid Studios
545,Ecole
546,Syrox Developments
547,Kush Games
548,Visiware Studios
549,Gabriel Interactive
550,Bam Entertainment
551,OutLook Entertainment
552,Broadsword Interactive
553,Big Ape Productions
554,VIS Entertainment
555,Artematica
556,Wildfire Studios
557,Retro Studios
558,Rockstar North
559,"DMA Design, Rockstar North"
560,Silicon Knights
561,2015
562,Irrational Games
563,Bethesda Softworks
564,Big Time Software
565,EA LA
566,Day 1 Studios
567,Out Of The Park Developments
568,Gas Powered Games
569,Sucker Punch
570,Triumph Studios
571,Blueshift
572,Clap Hanz
573,Eagle Dynamics
574,Strategy First
575,Flagship
576,eGames
577,Jaleco Entertainment
578,Koei/Inis
579,Realism Ltd
580,Inti
581,Panther Games
582,4Head Studios
583,Velez & Dubail
584,"Haemimont, Haemimont Games"
585,U.S. Army
586,Totally Games
587,ApeZone
588,Larian Studios Games
589,Evolution Studios
590,"Gravity Corporation, Gravity"
591,Vision Works
592,"Tecmo, Graphic Research"
593,Sandlot
594,Auran
595,Magic Rings
596,Software Creations
597,2By3 Games
598,Southend Interactive
599,iEntertainment Network
600,UGA
601,Computer Artworks
602,KCEA
603,"Media Vision, Contrail"
604,ARC Entertainment
605,Surreal Software
606,SCEE
607,Arkane Studios
608,"Atari, MicroProse, Atari SA"
609,Digital Eel
610,SCEE London Studio
611,Ancient
612,Humongous Entertainment
613,Will
614,PureSim
615,Exient Entertainment
616,Ubisoft Milan
617,Pixel Arts
618,Contraband Entertainment
619,Powerhead Games
620,Digital Reality
621,EA Seattle
622,Leaping Lizard Software Inc.
623,Vicious Cycle
624,Amuze
625,Klein Computer Entertainment
626,Bunkasha Publishing
627,Housemarque
628,"EA LA, Dreamworks Games"
629,Black Cactus
630,7 Studios
631,AI
632,"Pipeworks Software, Inc."
633,Midway Studios - Austin
634,Telenet
635,Simon & Schuster
636,Monkeystone
637,WayForward
638,ToeJam & Earl Productions
639,Atomic Planet Entertainment
640,Sunrise Interactive
641,PuzzleKings
642,Steel Monkeys
643,WinkySoft
644,Curly Monsters
645,Iridon Interactive AB
646,Legacy Interactive
647,Fury Software
648,Now Production
649,4X Studios
650,SmartDog
651,Prograph
652,Red 5 Software
653,Visual Impact
